2026-09-02 20:20:32 | Temperature: 64 C | Vibration: 10 mm/s | Pressure: 110 PSI | Status: CRITICAL
2026-09-02 20:20:35 | Temperature: 90 C | Vibration: 9 mm/s | Pressure: 82 PSI | Status: WARNING
2026-09-02 20:42:13 | Temperature: 79 C | Vibration: 9 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-02 20:42:16 | Temperature: 68 C | Vibration: 10 mm/s | Pressure: 106 PSI | Status: CRITICAL
2026-09-02 20:42:19 | Temperature: 105 C | Vibration: 7 mm/s | Pressure: 97 PSI | Status: CRITICAL
2026-09-02 20:58:07 | Temperature: 83 C | Vibration: 5 mm/s | Pressure: 95 PSI | Status: NORMAL
2026-09-02 21:10:54 | Temperature: 89 C | Vibration: 6 mm/s | Pressure: 94 PSI | Status: NORMAL
2026-09-02 21:10:57 | Temperature: 92 C | Vibration: 5 mm/s | Pressure: 92 PSI | Status: WARNING
2026-09-02 21:12:12 | Temperature: 89 C | Vibration: 4 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-02 21:12:15 | Temperature: 100 C | Vibration: 2 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-02 21:12:18 | Temperature: 105 C | Vibration: 7 mm/s | Pressure: 108 PSI | Status: CRITICAL
2026-09-02 21:12:21 | Temperature: 110 C | Vibration: 10 mm/s | Pressure: 103 PSI | Status: CRITICAL
2026-09-03 18:30:54 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:30:54 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:30:54 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:30:57 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:30:57 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:30:57 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:34:40 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:34:40 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:34:40 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:34:43 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:34:43 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:34:43 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:34:46 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:34:46 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:34:46 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:34:49 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:34:49 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:34:49 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:34:52 | Machine: Motor-A | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:34:52 | Machine: Pump-B | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:34:52 | Machine: Compressor-C | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:42:30 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:42:30 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:42:30 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:42:33 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:42:33 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:42:33 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:42:36 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:42:36 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:42:36 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:42:39 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:42:39 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:42:39 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:47:26 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:47:26 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:47:26 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:47:29 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:47:29 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:47:29 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:47:33 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:47:33 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:47:33 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:47:36 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:47:36 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:47:36 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:47:39 | Machine: Pump-B | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:47:39 | Machine: Motor-A | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:47:39 | Machine: Compressor-C | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:47:42 | Machine: Pump-B | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:47:42 | Machine: Motor-A | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:47:42 | Machine: Compressor-C | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:48:34 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:48:34 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:48:34 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:48:37 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:48:37 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:48:37 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:48:40 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:48:40 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:48:40 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:54:21 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:54:21 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:54:21 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:54:24 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:54:24 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:54:24 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:54:27 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:54:27 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:54:27 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:54:30 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:54:30 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:54:30 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:54:33 | Machine: Compressor-C | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:54:33 | Machine: Motor-A | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:54:33 | Machine: Pump-B | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:54:36 | Machine: Compressor-C | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:54:36 | Machine: Pump-B | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:54:36 | Machine: Motor-A | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:55:52 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:55:52 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:55:52 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:55:55 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:55:55 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:55:55 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:55:59 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:55:59 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:55:59 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:56:02 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:56:02 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:56:02 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:56:05 | Machine: Pump-B | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:56:05 | Machine: Motor-A | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:56:05 | Machine: Compressor-C | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:56:08 | Machine: Motor-A | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:56:08 | Machine: Pump-B | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:56:08 | Machine: Compressor-C | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:56:11 | Machine: Motor-A | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-03 18:56:11 | Machine: Pump-B | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-03 18:56:11 | Machine: Compressor-C | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-03 18:56:14 | Machine: Motor-A | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-03 18:56:14 | Machine: Pump-B | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-03 18:56:14 | Machine: Compressor-C | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-03 18:56:17 | Machine: Motor-A | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 18:56:17 | Machine: Compressor-C | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 18:56:17 | Machine: Pump-B | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 18:56:20 | Machine: Compressor-C | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 18:56:20 | Machine: Motor-A | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 18:56:20 | Machine: Pump-B | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 18:57:18 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:57:18 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:57:18 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:57:21 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:57:21 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:57:21 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:57:24 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:57:24 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:57:24 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:57:28 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:57:28 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:57:28 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:57:31 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:57:31 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:57:31 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:57:34 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:57:34 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:57:34 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:57:37 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:57:37 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:57:37 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:58:34 | Machine: Motor-A | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:58:34 | Machine: Compressor-C | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:58:34 | Machine: Pump-B | Temperature: 101 C | Vibration: 8 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:58:37 | Machine: Motor-A | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:58:37 | Machine: Compressor-C | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:58:37 | Machine: Pump-B | Temperature: 91 C | Vibration: 10 mm/s | Pressure: 101 PSI | Status: CRITICAL
2026-09-03 18:58:40 | Machine: Motor-A | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:58:40 | Machine: Pump-B | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:58:40 | Machine: Compressor-C | Temperature: 63 C | Vibration: 9 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 18:58:43 | Machine: Motor-A | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:58:43 | Machine: Pump-B | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:58:43 | Machine: Compressor-C | Temperature: 95 C | Vibration: 6 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-03 18:58:47 | Machine: Pump-B | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:58:47 | Machine: Compressor-C | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:58:47 | Machine: Motor-A | Temperature: 85 C | Vibration: 8 mm/s | Pressure: 119 PSI | Status: CRITICAL
2026-09-03 18:58:50 | Machine: Compressor-C | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:58:50 | Machine: Pump-B | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:58:50 | Machine: Motor-A | Temperature: 92 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: WARNING
2026-09-03 18:58:53 | Machine: Pump-B | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-03 18:58:53 | Machine: Motor-A | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-03 18:58:53 | Machine: Compressor-C | Temperature: 93 C | Vibration: 7 mm/s | Pressure: 81 PSI | Status: WARNING
2026-09-03 18:58:56 | Machine: Compressor-C | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-03 18:58:56 | Machine: Motor-A | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-03 18:58:56 | Machine: Pump-B | Temperature: 78 C | Vibration: 3 mm/s | Pressure: 110 PSI | Status: NORMAL
2026-09-03 18:58:59 | Machine: Compressor-C | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 18:58:59 | Machine: Pump-B | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 18:58:59 | Machine: Motor-A | Temperature: 97 C | Vibration: 3 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 18:59:02 | Machine: Compressor-C | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 18:59:02 | Machine: Pump-B | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 18:59:02 | Machine: Motor-A | Temperature: 110 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 18:59:05 | Machine: Compressor-C | Temperature: 101 C | Vibration: 7 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 18:59:05 | Machine: Pump-B | Temperature: 101 C | Vibration: 7 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 18:59:05 | Machine: Motor-A | Temperature: 101 C | Vibration: 7 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 18:59:08 | Machine: Compressor-C | Temperature: 72 C | Vibration: 10 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-03 18:59:08 | Machine: Pump-B | Temperature: 72 C | Vibration: 10 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-03 18:59:08 | Machine: Motor-A | Temperature: 72 C | Vibration: 10 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-03 18:59:11 | Machine: Compressor-C | Temperature: 74 C | Vibration: 10 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:59:11 | Machine: Pump-B | Temperature: 74 C | Vibration: 10 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:59:11 | Machine: Motor-A | Temperature: 74 C | Vibration: 10 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 18:59:14 | Machine: Pump-B | Temperature: 60 C | Vibration: 4 mm/s | Pressure: 111 PSI | Status: WARNING
